genes	v3_locus
GRMZM2G005732	GRMZM2G005732
GRMZM2G005753	pco093020
GRMZM2G005788	pco061453
GRMZM2G005815	hsftf3
GRMZM2G005840	xer3
GRMZM2G005844	dng1
GRMZM2G005848	IDP1458
GRMZM2G005849	gfa1
GRMZM2G005859	pco098379
GRMZM2G005869	IDP300
GRMZM2G005887	cys2
GRMZM2G005909	ggps4
GRMZM2G005938	ppr*-59040
GRMZM2G005939	pco093521b
GRMZM2G005954	zim13
GRMZM2G005990	cl1288_1a
GRMZM2G005991	plt5
GRMZM2G005998	TIDP3662
GRMZM2G006042	arftf28
GRMZM2G006047	AY110426
GRMZM2G006071	umc1426
GRMZM2G006219	pco129120a
GRMZM2G006229	si486058g10
GRMZM2G006246	fha14
GRMZM2G006277	IDP667
GRMZM2G006287	cl61420_1
GRMZM2G006297	si707014d12
GRMZM2G006324	dsul1
GRMZM2G006341	cl37086_1
GRMZM2G006352	myb24
GRMZM2G006404	cdpk16
GRMZM2G006428	pco071849
GRMZM2G006429	csu634
GRMZM2G006452	smc2
GRMZM2G006453	pco092373
GRMZM2G006477	glk17
GRMZM2G006493	c3h54
GRMZM2G006497	wrky49
GRMZM2G006578	bzip7
GRMZM2G006585	fl3
GRMZM2G006631	bhlh160
GRMZM2G006661	mlkt2
GRMZM2G006707	gte102
GRMZM2G006721	cyc15
GRMZM2G006736	sig1A
GRMZM2G006745	ereb22
GRMZM2G006752	eil4
GRMZM2G006765	act4
GRMZM2G006790	pco145926
GRMZM2G006791	pco131924a
GRMZM2G006806	cl14448_1
GRMZM2G006871	gbptf11
GRMZM2G006894	mha4
GRMZM2G006942	ufg17
GRMZM2G006953	ntf2
GRMZM2G006964	ga2ox2
GRMZM2G007055	umc2185
GRMZM2G007060	cl51637_1
GRMZM2G007063	ohp2
GRMZM2G007103	IDP756
GRMZM2G007120	umc2350
GRMZM2G007130	cyc16
GRMZM2G007134	bgh2
GRMZM2G007151	drepp2
GRMZM2G007201	cl6208_1
GRMZM2G007206	TIDP2814
GRMZM2G007249	acco2
GRMZM2G007260	umc1478
GRMZM2G007276	csu204(uce)
GRMZM2G007277	invan4
GRMZM2G007381	uce1
GRMZM2G007404	umc2355
GRMZM2G007406	ereb173
GRMZM2G007453	apo1
GRMZM2G007466	AY107329
GRMZM2G007475	umc2344
GRMZM2G007477	umc2172
GRMZM2G007489	cl525_1(477)
GRMZM2G007555	cbl11
GRMZM2G007587	TIDP2650
GRMZM2G007590	umc2342
GRMZM2G007681	rmr6
GRMZM2G007685	expb10c
GRMZM2G007695	gpm217b
GRMZM2G007698	mmp63
GRMZM2G007721	pza00048
GRMZM2G007729	hsp22
GRMZM2G007736	trps8
GRMZM2G007754	pap6
GRMZM2G007791	ago2a
GRMZM2G007848	mpk19
GRMZM2G007914	IDP2388
GRMZM2G007915	umc1139
GRMZM2G007922	chr125a
GRMZM2G007928	bbi1
GRMZM2G007957	umc2219
GRMZM2G007969	pco081680
GRMZM2G008029	wrky31
GRMZM2G008047	pmei43
GRMZM2G008058	cl27068_1
GRMZM2G008060	cl44168_1
GRMZM2G008072	phi308707
