GeneID,ZmPep3,antiZm3
GRMZM2G112456,1.737628007,-1.712177634
GRMZM2G087245,1.735218148,-1.708961603
GRMZM2G135013,1.732831508,-1.702172748
GRMZM2G027059,1.732802898,-1.700640949
GRMZM2G162109,1.732471288,-1.700521287
GRMZM2G114140,1.72975926,-1.700370028
GRMZM2G178955,1.728653729,-1.69936543
GRMZM2G171254,1.726299825,-1.697924558
GRMZM2G009353,1.722977172,-1.697818643
GRMZM2G156861,1.721548097,-1.690652
GRMZM2G080586,1.719605662,-1.688252891
GRMZM2G042356,1.718991471,-1.686496108
GRMZM2G314652,1.718844728,-1.686042962
GRMZM2G156937,1.715108059,-1.68064377
GRMZM2G471160,1.713875218,-1.678687567
GRMZM2G007195,1.711400666,-1.676999608
GRMZM2G175816,1.70889008,-1.676503432
GRMZM5G889999,1.705229477,-1.675958329
GRMZM2G098696,1.702342899,-1.673540798
GRMZM5G878732,1.702245812,-1.673422798
GRMZM2G064775,1.695629283,-1.671028362
GRMZM2G055469,1.694332437,-1.669879457
GRMZM2G041959,1.685734442,-1.669213265
GRMZM2G167549,1.684420177,-1.665627875
GRMZM2G338131,1.684275208,-1.665266848
GRMZM5G855776,1.650863822,-1.662378037
GRMZM2G467370,1.64948594,-1.659167375
GRMZM2G089736,1.640241946,-1.659133358
GRMZM2G091540,1.638251221,-1.658321352
GRMZM5G810727,1.636021628,-1.658141084
GRMZM2G393002,1.631556543,-1.656430558
AC235547.1_FG005,1.62525711,-1.654039808
GRMZM2G049790,1.615910052,-1.650743882
GRMZM2G118172,1.613741394,-1.646052325
GRMZM2G152549,1.613601647,-1.644338795
GRMZM2G035222,1.612771254,-1.64241929
GRMZM2G173596,1.597879247,-1.641302058
AC206901.3_FG005,1.596124191,-1.634142861
GRMZM2G170281,1.594987518,-1.632941713
GRMZM2G147346,1.594766838,-1.632148351
GRMZM2G152921,1.592791112,-1.62780896
GRMZM2G041729,1.586771766,-1.626124375
GRMZM2G175171,1.586485098,-1.624222419
GRMZM2G010596,1.584830251,-1.623271129
GRMZM2G138800,1.581803392,-1.621912679
GRMZM2G139874,1.579238419,-1.621908438
GRMZM2G069542,1.577326119,-1.619427253
GRMZM2G437912,1.577114749,-1.611413539
GRMZM5G899308,1.57619717,-1.607620992
GRMZM2G417092,1.574423485,-1.605037196
GRMZM2G007647,1.570789766,-1.604917346
GRMZM2G127067,1.562792409,-1.597219967
GRMZM2G005024,1.56181091,-1.592461815
GRMZM2G081582,1.561707271,-1.592295698
GRMZM2G093736,1.558094812,-1.584065564
GRMZM2G338160,1.557611726,-1.583099607
GRMZM2G074759,1.554588205,-1.580406964
GRMZM2G339563,1.553250678,-1.579567025
GRMZM2G113409,1.549334571,-1.577592851
GRMZM2G075244,1.547716216,-1.577491884
GRMZM2G025366,1.54484347,-1.577370271
GRMZM2G018756,1.541221915,-1.567679245
GRMZM2G064473,1.534226623,-1.563191912
GRMZM2G147724,1.53146158,-1.561289469
GRMZM2G145870,1.520398572,-1.560582705
GRMZM2G122126,1.517770951,-1.560031698
GRMZM2G093951,1.516446546,-1.55989004
GRMZM2G128466,1.515184266,-1.558015584
GRMZM2G132301,1.514737999,-1.557927594
GRMZM2G301087,1.514225847,-1.555236525
GRMZM2G094168,1.50651577,-1.554430255
GRMZM2G145407,1.499265327,-1.550027512
GRMZM5G835542,1.498344324,-1.547876434
GRMZM2G164562,1.497365812,-1.545316518
GRMZM2G055180,1.496047967,-1.54253547
GRMZM2G475971,1.486742537,-1.535306489
GRMZM2G034407,1.481450998,-1.534353871
GRMZM2G031400,1.479701414,-1.532499779
GRMZM5G816214,1.4766641,-1.531251998
GRMZM2G133400,1.476398416,-1.531172807
GRMZM2G477205,1.476187714,-1.530451723
GRMZM2G120517,1.475029909,-1.525759759
GRMZM2G161274,1.473265446,-1.525163133
GRMZM2G502099,1.472148446,-1.524334506
GRMZM2G093849,1.452978892,-1.522853431
GRMZM2G113129,1.450353759,-1.513639982
GRMZM2G045976,1.449556596,-1.508655811
AC191575.2_FG001,1.445519736,-1.506226471
GRMZM2G055698,1.444855628,-1.500732208
AC199782.5_FG003,1.444090896,-1.50019626
GRMZM2G061527,1.444007166,-1.499568149
GRMZM2G122198,1.439162934,-1.498168456
GRMZM2G312661,1.438746243,-1.498075065
GRMZM5G828587,1.431715695,-1.493200173
GRMZM2G009968,1.42428955,-1.492790556
GRMZM2G147221,1.411726058,-1.492379972
GRMZM2G021624,1.394397023,-1.490647514
GRMZM2G150014,1.385710494,-1.489818371
GRMZM5G852886,1.360278703,-1.487106951
GRMZM2G083197,1.33668229,-1.473855026
