genes,SLB
GRMZM2G139535,5.198
GRMZM2G450498,5.197
GRMZM2G171370,5.188
GRMZM2G083980,5.187
GRMZM2G164912,5.186
GRMZM2G311500,5.184
GRMZM2G163110,5.180
GRMZM2G366065,5.179
GRMZM2G438007,5.173
GRMZM2G465165,5.173
GRMZM2G081886,5.172
GRMZM2G145460,5.168
GRMZM2G516301,5.166
GRMZM2G078576,5.164
AC185466.3_FG001,5.161
GRMZM2G416750,5.154
GRMZM2G178546,5.153
GRMZM2G456997,5.152
GRMZM5G853854,5.150
GRMZM2G377341,5.149
GRMZM2G043095,5.146
GRMZM2G146108,5.145
GRMZM5G825512,5.141
GRMZM2G336448,5.133
GRMZM2G095209,5.130
GRMZM2G087824,5.125
AC208110.2_FG005,5.121
GRMZM2G064969,5.120
GRMZM2G128114,5.116
GRMZM2G004298,5.111
GRMZM2G165778,5.110
GRMZM2G145870,5.110
GRMZM2G018806,5.109
GRMZM5G852779,5.106
GRMZM2G122126,5.105
GRMZM2G145568,5.102
GRMZM2G159013,5.102
GRMZM2G480439,5.100
GRMZM2G150098,5.097
GRMZM2G140824,5.097
GRMZM2G171254,5.094
GRMZM2G066067,5.089
GRMZM2G099454,5.083
GRMZM2G069325,5.072
GRMZM2G456644,5.066
GRMZM2G332821,5.064
GRMZM2G069542,5.061
GRMZM2G075244,5.052
GRMZM2G071288,5.051
GRMZM2G148087,5.050
GRMZM2G163008,5.042
GRMZM2G403719,5.042
GRMZM2G165631,5.041
GRMZM2G077500,5.035
GRMZM2G103599,5.034
GRMZM2G034611,5.034
GRMZM2G075461,5.031
GRMZM2G068151,5.029
GRMZM2G148026,5.028
AC193379.3_FG001,5.026
GRMZM2G145972,5.023
GRMZM2G150907,5.018
GRMZM2G151801,5.012
GRMZM2G084825,5.007
GRMZM2G090747,4.993
GRMZM2G051474,4.990
AC197355.3_FG001,4.985
GRMZM2G448957,4.982
GRMZM2G151406,4.979
GRMZM2G103342,4.971
GRMZM2G112617,4.969
GRMZM2G443829,4.969
GRMZM2G305066,4.968
GRMZM2G146866,4.960
GRMZM5G851266,4.956
GRMZM2G100121,4.954
GRMZM2G064473,4.948
GRMZM2G115280,4.946
GRMZM2G119578,4.944
GRMZM2G424804,4.938
GRMZM2G172230,4.937
GRMZM2G057789,4.937
GRMZM2G022740,4.930
GRMZM2G180172,4.929
AC234199.1_FG003,4.927
GRMZM2G021095,4.926
GRMZM2G440003,4.924
GRMZM5G806449,4.917
GRMZM2G061596,4.916
GRMZM2G169953,4.914
GRMZM2G040094,4.913
GRMZM2G026346,4.911
GRMZM2G304362,4.907
GRMZM2G044317,4.907
GRMZM2G037998,4.905
GRMZM2G079389,4.903
GRMZM2G061465,4.897
GRMZM2G388253,4.887
GRMZM2G047800,4.886
GRMZM2G426917,4.886
GRMZM2G174621,4.884
GRMZM2G347056,4.882
GRMZM2G094510,4.881
GRMZM2G463415,4.873
GRMZM2G057963,4.859
GRMZM2G135385,4.853
GRMZM2G072052,4.850
GRMZM2G164562,4.850
GRMZM2G467520,4.850
GRMZM2G353313,4.847
GRMZM2G125991,4.845
GRMZM2G332562,4.842
GRMZM2G013299,4.841
GRMZM2G077187,4.838
GRMZM2G456487,4.829
GRMZM2G171170,4.828
GRMZM2G004949,4.827
GRMZM2G117706,4.827
GRMZM2G135175,4.824
GRMZM2G426242,4.821
GRMZM2G001160,4.818
GRMZM2G116823,4.816
GRMZM2G139811,4.815
GRMZM2G014240,4.814
GRMZM2G087111,4.813
GRMZM2G012046,4.813
GRMZM2G071478,4.811
GRMZM2G452896,4.811
GRMZM2G155837,4.811
GRMZM2G345544,4.806
GRMZM2G118062,4.805
GRMZM2G131443,4.803
AC205413.4_FG003,4.800
GRMZM2G011526,4.800
GRMZM2G026889,4.789
GRMZM2G176630,4.788
GRMZM2G124732,4.785
GRMZM2G141931,4.784
GRMZM5G820122,4.783
GRMZM2G307397,4.778
GRMZM2G176403,4.778
GRMZM2G394410,4.768
GRMZM2G154267,4.768
GRMZM2G475984,4.767
GRMZM2G146047,4.761
GRMZM2G494514,4.757
GRMZM2G086773,4.746
GRMZM2G091303,4.746
GRMZM2G005024,4.741
GRMZM2G145407,4.739
GRMZM2G177340,4.735
GRMZM2G402165,4.733
GRMZM2G069335,4.729
GRMZM2G018314,4.727
GRMZM2G122810,4.719
GRMZM2G129375,4.715
GRMZM2G039254,4.714
GRMZM2G140908,4.707
GRMZM2G404237,4.704
GRMZM2G104299,4.702
GRMZM2G011541,4.697
GRMZM2G125943,4.694
GRMZM2G133421,4.693
AC196978.5_FG002,4.692
GRMZM5G814279,4.692
GRMZM2G309163,4.692
GRMZM2G124417,4.690
GRMZM2G015989,4.687
GRMZM2G333875,4.684
GRMZM2G098102,4.683
GRMZM5G815077,4.683
GRMZM2G044027,4.683
GRMZM2G366146,4.682
GRMZM2G036206,4.680
GRMZM2G081105,4.680
GRMZM2G412986,4.679
GRMZM5G892035,4.677
GRMZM2G003526,4.677
GRMZM2G070673,4.674
GRMZM2G010823,4.674
GRMZM2G386952,4.674
GRMZM2G351074,4.670
GRMZM2G463574,4.670
GRMZM2G144407,4.669
AC208110.2_FG011,4.669
GRMZM2G124091,4.666
GRMZM2G060611,4.662
GRMZM2G324157,4.661
GRMZM5G842961,4.654
GRMZM2G087875,4.654
GRMZM2G387383,4.653
GRMZM2G160430,4.651
GRMZM2G319375,4.646
GRMZM2G001631,4.645
GRMZM2G013170,4.645
GRMZM5G829778,4.642
GRMZM5G862540,4.640
GRMZM2G149935,4.638
GRMZM2G165060,4.637
GRMZM2G048616,4.635
GRMZM2G382035,4.634
GRMZM2G152549,4.628
GRMZM2G100452,4.627
AC234152.1_FG007,4.624
GRMZM2G054040,4.619
GRMZM2G014805,4.619
GRMZM2G130897,4.617
GRMZM2G006197,4.613
GRMZM2G407650,4.612
GRMZM2G386228,4.610
GRMZM2G124229,4.604
GRMZM2G148355,4.601
GRMZM2G018869,4.600
GRMZM2G058690,4.596
GRMZM2G445261,4.594
GRMZM2G179792,4.591
GRMZM2G377311,4.591
GRMZM2G080851,4.589
GRMZM2G020040,4.588
GRMZM2G063151,4.587
GRMZM2G089713,4.583
GRMZM2G051898,4.582
GRMZM2G112548,4.577
GRMZM2G134597,4.576
GRMZM2G021378,4.575
GRMZM2G472023,4.574
GRMZM2G437113,4.570
GRMZM2G553532,4.569
GRMZM2G342907,4.564
GRMZM2G107116,4.562
GRMZM2G031802,4.559
GRMZM2G072658,4.559
GRMZM2G169564,4.559
GRMZM2G322728,4.557
GRMZM2G113056,4.556
GRMZM2G303909,4.555
GRMZM2G403151,4.554
GRMZM2G447551,4.551
GRMZM5G847219,4.549
GRMZM2G093826,4.548
GRMZM2G072142,4.546
GRMZM2G123371,4.544
GRMZM2G477205,4.543
GRMZM2G107380,4.542
GRMZM2G117378,4.541
AC198725.4_FG009,4.535
GRMZM2G059740,4.535
GRMZM5G833332,4.534
GRMZM2G116126,4.534
GRMZM2G048801,4.532
GRMZM2G107639,4.530
GRMZM2G020721,4.530
GRMZM2G069405,4.529
GRMZM2G128693,4.527
GRMZM2G134396,4.527
GRMZM2G027862,4.520
GRMZM2G017805,4.516
GRMZM2G095340,4.512
GRMZM2G000039,4.512
GRMZM2G394962,4.510
GRMZM2G341404,4.510
GRMZM2G057491,4.505
GRMZM2G062052,4.504
GRMZM2G145752,4.503
GRMZM2G108115,4.502
GRMZM2G110330,4.501
GRMZM2G319138,4.499
GRMZM2G142030,4.492
GRMZM2G154881,4.487
GRMZM2G161293,4.482
GRMZM2G341732,4.481
GRMZM2G088819,4.477
GRMZM2G091672,4.477
GRMZM2G133198,4.473
GRMZM2G135013,4.471
AC203761.3_FG002,4.469
GRMZM2G005825,4.467
AC191283.3_FG004,4.467
GRMZM2G451672,4.461
GRMZM2G015190,4.460
GRMZM2G025491,4.460
GRMZM2G041125,4.459
GRMZM2G089400,4.454
GRMZM2G090980,4.453
GRMZM2G140754,4.453
GRMZM2G041701,4.451
GRMZM2G121237,4.450
GRMZM2G168654,4.444
GRMZM2G007028,4.444
GRMZM2G375249,4.441
GRMZM2G013776,4.434
GRMZM2G107228,4.427
GRMZM2G159756,4.425
GRMZM5G859099,4.422
GRMZM2G413135,4.421
GRMZM2G026447,4.418
GRMZM2G011025,4.415
GRMZM2G095865,4.409
GRMZM2G476810,4.404
GRMZM2G069722,4.403
GRMZM5G806784,4.402
AC207756.3_FG001,4.402
GRMZM2G071292,4.399
GRMZM2G023346,4.398
GRMZM2G160175,4.394
GRMZM2G146206,4.393
GRMZM2G380438,4.392
GRMZM2G147966,4.391
GRMZM2G169580,4.390
GRMZM2G065665,4.390
GRMZM2G328785,4.388
GRMZM2G476040,4.386
GRMZM2G008642,4.386
GRMZM2G339562,4.386
GRMZM2G103357,4.383
GRMZM5G873277,4.382
GRMZM2G073814,4.382
GRMZM2G327032,4.380
GRMZM2G123585,4.378
GRMZM2G151921,4.377
GRMZM2G132995,4.375
GRMZM2G109286,4.369
GRMZM2G027835,4.362
GRMZM2G066820,4.361
GRMZM5G883764,4.355
GRMZM2G160506,4.354
GRMZM2G154678,4.353
GRMZM2G085974,4.351
GRMZM2G007736,4.347
GRMZM2G099467,4.347
GRMZM2G130728,4.345
GRMZM2G101928,4.345
GRMZM2G044237,4.344
GRMZM2G060714,4.344
GRMZM2G041774,4.343
GRMZM2G340656,4.342
GRMZM2G348993,4.338
GRMZM2G364172,4.336
GRMZM2G115998,4.332
GRMZM2G004858,4.332
GRMZM2G331533,4.329
GRMZM2G573867,4.329
GRMZM2G476000,4.329
GRMZM2G412150,4.326
GRMZM2G151204,4.325
GRMZM2G420280,4.325
GRMZM5G827205,4.319
AC234163.1_FG002,4.318
GRMZM2G029798,4.317
GRMZM2G134162,4.315
GRMZM2G465987,4.314
GRMZM2G116335,4.312
GRMZM2G177165,4.311
GRMZM2G160611,4.310
GRMZM2G314660,4.310
GRMZM2G117064,4.306
GRMZM2G406089,4.306
GRMZM6G559102,4.305
GRMZM2G139813,4.305
GRMZM2G305124,4.302
GRMZM2G431021,4.299
GRMZM2G400784,4.299
GRMZM2G025592,4.297
GRMZM2G024437,4.293
GRMZM2G312871,4.292
GRMZM2G146158,4.289
GRMZM2G521844,4.285
GRMZM2G305080,4.285
GRMZM2G093020,4.284
GRMZM2G102056,4.281
GRMZM2G081642,4.280
GRMZM2G363408,4.280
GRMZM2G359924,4.279
GRMZM2G112285,4.274
GRMZM2G130904,4.272
GRMZM6G310687,4.270
GRMZM2G123843,4.269
GRMZM2G164814,4.269
GRMZM2G416120,4.265
GRMZM2G087740,4.264
GRMZM2G374971,4.264
GRMZM2G347766,4.263
GRMZM2G117865,4.261
GRMZM2G036564,4.259
GRMZM2G109515,4.258
GRMZM2G142660,4.257
GRMZM2G089102,4.255
GRMZM2G170829,4.250
GRMZM2G070199,4.249
GRMZM2G140342,4.249
GRMZM2G154811,4.246
GRMZM2G133802,4.244
GRMZM2G085236,4.243
GRMZM5G805874,4.240
GRMZM5G826911,4.240
GRMZM2G540772,4.239
GRMZM2G124921,4.237
GRMZM2G464976,4.237
GRMZM2G008657,4.235
GRMZM2G402977,4.234
GRMZM2G098301,4.233
GRMZM2G080889,4.232
GRMZM2G159759,4.232
GRMZM2G069976,4.229
GRMZM2G133006,4.224
GRMZM2G152901,4.224
GRMZM2G003411,4.221
GRMZM2G043579,4.220
GRMZM2G090241,4.219
GRMZM2G141376,4.216
GRMZM2G113512,4.216
GRMZM2G180086,4.215
GRMZM2G152888,4.214
GRMZM2G403076,4.214
GRMZM2G107322,4.212
GRMZM2G047167,4.210
GRMZM2G175593,4.208
GRMZM2G074572,4.206
GRMZM2G126062,4.204
GRMZM2G030768,4.199
GRMZM2G026203,4.198
GRMZM2G378452,4.195
GRMZM2G051912,4.194
GRMZM2G382413,4.194
GRMZM2G031876,4.192
GRMZM2G113191,4.190
GRMZM2G018108,4.188
GRMZM2G163427,4.186
AC233853.1_FG003,4.182
GRMZM2G013639,4.179
GRMZM2G045720,4.178
GRMZM2G101250,4.175
GRMZM2G105221,4.173
GRMZM2G157683,4.172
GRMZM2G062638,4.172
GRMZM2G029243,4.168
GRMZM2G162445,4.168
GRMZM2G009735,4.167
GRMZM2G052728,4.165
GRMZM2G137435,4.165
GRMZM2G179253,4.155
GRMZM2G072653,4.154
GRMZM2G100412,4.154
GRMZM2G105092,4.153
GRMZM2G020940,4.151
AC233955.1_FG008,4.147
GRMZM2G083344,4.141
GRMZM2G060762,4.141
GRMZM2G060919,4.140
GRMZM2G117700,4.140
GRMZM2G011631,4.139
GRMZM2G024024,4.138
GRMZM2G004278,4.137
GRMZM2G174315,4.136
GRMZM2G173967,4.134
GRMZM2G024374,4.132
GRMZM2G038882,4.130
GRMZM2G423129,4.130
GRMZM2G032602,4.123
GRMZM2G054905,4.121
GRMZM2G001426,4.120
GRMZM2G171713,4.119
GRMZM2G338691,4.115
GRMZM2G114048,4.109
GRMZM2G140917,4.109
GRMZM2G155506,4.108
GRMZM2G061663,4.104
GRMZM2G022616,4.103
GRMZM2G469721,4.102
GRMZM2G157241,4.099
GRMZM2G178955,4.098
GRMZM2G041394,4.090
GRMZM2G146951,4.089
GRMZM2G133978,4.087
GRMZM2G433076,4.087
GRMZM2G479906,4.084
GRMZM2G036034,4.080
GRMZM2G016382,4.076
GRMZM2G033871,4.074
GRMZM2G166903,4.074
GRMZM2G132032,4.074
GRMZM2G133943,4.073
AC212835.3_FG008,4.070
GRMZM2G087827,4.066
GRMZM2G331088,4.065
GRMZM2G100754,4.061
GRMZM5G808836,4.059
