GeneID,1H,4H,6H,24H
GRMZM2G073860,0,0.847072513,0.839765342,1.101817255
GRMZM2G073884,1.427273019,0,0,1.264559473
GRMZM2G073892,0,0,0,-1.006333715
GRMZM2G073929,0,0,0,0
GRMZM2G073934,0,0,2.099420536,0
GRMZM2G073943,-1.082617889,-1.311118826,-1.57525991,-1.581661019
GRMZM2G073954,0,0,-0.673547297,-0.794963943
GRMZM2G073959,0,0.992688761,0.760057876,0.748004054
GRMZM2G074017,0,-2.290619703,-1.033718293,0
GRMZM2G074053,0,-0.987365525,-0.958208567,0
GRMZM2G074083,-0.919164179,-0.822286405,-1.290263989,-1.323546581
GRMZM2G074097,-1.067158236,0,-1.367014688,-1.807495963
GRMZM2G074103,0,-0.842301928,-1.117131398,-0.877231053
GRMZM2G074107,0,-1.176792129,-1.395349816,-1.633931697
GRMZM2G074114,0,0.561016252,0.745839424,0.813973996
GRMZM2G074122,0,0.597421016,0.693841081,0.819808534
GRMZM2G074158,0,0.690382837,0,1.029134833
GRMZM2G074252,-0.627545587,-0.744179962,-1.457381926,-1.32213865
GRMZM2G074270,-0.819555371,-1.090956919,-1.072744146,-1.014654888
GRMZM2G074282,0,-0.724016583,-0.949076995,-1.180420274
GRMZM2G074307,-2.457238236,-4.242236426,-3.045910573,-3.42613121
GRMZM2G074317,-1.247184322,-0.804030579,-0.982854412,-0.713046528
GRMZM2G074393,0,-0.769948804,-1.314181779,-1.985954523
GRMZM2G074395,-1.209139942,-1.581440817,-1.589465455,-2.06358945
GRMZM2G074401,1.649929073,2.016725291,1.798382893,1.500566363
GRMZM2G074462,-0.627955167,-0.590683838,-1.260405188,-0.530861525
GRMZM2G074496,-1.098491795,0,0,0
GRMZM2G074517,2.279561034,0,0,0
GRMZM2G074530,0,0,0.62198426,0.844701788
GRMZM2G074540,-1.179106274,0,0.740829488,1.914998465
GRMZM2G074546,-1.544252219,-1.63289977,-2.1835113,-2.544737891
GRMZM2G074549,0,0,0.537828469,0.751820411
GRMZM2G074567,0,0,0.709429242,0.799224352
GRMZM2G074599,0,0,0,-0.647124207
GRMZM2G074604,0.903085727,1.83418145,1.610095211,2.134843613
GRMZM2G074611,4.622232393,2.816513476,3.337940662,3.516677967
GRMZM2G074631,0,1.081212286,0,0
GRMZM2G074645,1.283878128,0,0,0
GRMZM2G074672,-2.882001526,0,0,0
GRMZM2G074687,0.789770122,2.791421788,3.183934848,2.751746681
GRMZM2G074718,0,-0.728939794,-0.858599621,-0.951992529
GRMZM2G074735,1.213446465,0,0,0
GRMZM2G074742,0,-1.380039642,-1.39798918,-1.670976549
GRMZM2G074759,1.528039208,1.802197563,2.284374041,1.934131544
GRMZM2G074790,0,1.270730518,1.930131554,0
GRMZM2G074792,1.172461525,0.832805426,0,1.076061189
GRMZM2G074805,0.912394531,0,0.716805253,0
GRMZM2G074850,0,0.920677025,0.749358745,0.873217977
GRMZM2G074956,0,0,-1.645262899,0
GRMZM2G074957,1.148367489,0,0,0
GRMZM2G075002,1.1407374,2.059805808,1.691003759,1.487700423
GRMZM2G075018,-1.784862525,-2.237130345,-2.268640406,-1.945962994
GRMZM2G075058,0,0,-0.60759517,-0.73638045
GRMZM2G075074,0,0,-1.048520804,-1.140230265
GRMZM2G075117,0,0.851896279,1.036761107,1.012291421
GRMZM2G075122,1.635671861,1.064445417,0,0
GRMZM2G075140,1.560632448,0.670932474,0,0.565883716
GRMZM2G075158,1.995034847,1.049467523,0,1.03242872
GRMZM2G075227,1.220387726,1.004092816,0.741361625,0
GRMZM2G075229,0,0,0,1.422878882
GRMZM2G075244,3.707934455,5.990877462,6.053646466,4.467370662
